DATE,A794RX0Q048SBEA
2013-04-01,35195.0
2013-07-01,35270.0
2013-10-01,35505.0
2014-01-01,35587.0
2014-04-01,35917.0
2014-07-01,36231.0
2014-10-01,36597.0
2015-01-01,36844.0
2015-04-01,37077.0
2015-07-01,37286.0
2015-10-01,37381.0
2016-01-01,37611.0
2016-04-01,37821.0
2016-07-01,37991.0
2016-10-01,38159.0
2017-01-01,38333.0
2017-04-01,38507.0
2017-07-01,38670.0
2017-10-01,39053.0
2018-01-01,39172.0
2018-04-01,39514.0
2018-07-01,39796.0
2018-10-01,39885.0
2019-01-01,39958.0
2019-04-01,40363.0
2019-07-01,40620.0
2019-10-01,40748.0
2020-01-01,39993.0
