year,period,potus,houseOfRep,fedChair
1960,M04,R,D,D
1960,M05,R,D,D
1960,M06,R,D,D
1960,M07,R,D,D
1960,M08,R,D,D
1960,M09,R,D,D
1960,M10,R,D,D
1960,M11,R,D,D
1960,M12,R,D,D
1961,M01,R,D,D
1961,M02,D,D,D
1961,M03,D,D,D
1961,M04,D,D,D
1961,M05,D,D,D
1961,M06,D,D,D
1961,M07,D,D,D
1961,M08,D,D,D
1961,M09,D,D,D
1961,M10,D,D,D
1961,M11,D,D,D
1961,M12,D,D,D
1962,M01,D,D,D
1962,M02,D,D,D
1962,M03,D,D,D
1962,M04,D,D,D
1962,M05,D,D,D
1962,M06,D,D,D
1962,M07,D,D,D
1962,M08,D,D,D
1962,M09,D,D,D
1962,M10,D,D,D
1962,M11,D,D,D
1962,M12,D,D,D
1963,M01,D,D,D
1963,M02,D,D,D
1963,M03,D,D,D
1963,M04,D,D,D
1963,M05,D,D,D
1963,M06,D,D,D
1963,M07,D,D,D
1963,M08,D,D,D
1963,M09,D,D,D
1963,M10,D,D,D
1963,M11,D,D,D
1963,M12,D,D,D
1964,M01,D,D,D
1964,M02,D,D,D
1964,M03,D,D,D
1964,M04,D,D,D
1964,M05,D,D,D
1964,M06,D,D,D
1964,M07,D,D,D
1964,M08,D,D,D
1964,M09,D,D,D
1964,M10,D,D,D
1964,M11,D,D,D
1964,M12,D,D,D
1965,M01,D,D,D
1965,M02,D,D,D
1965,M03,D,D,D
1965,M04,D,D,D
1965,M05,D,D,D
1965,M06,D,D,D
1965,M07,D,D,D
1965,M08,D,D,D
1965,M09,D,D,D
1965,M10,D,D,D
1965,M11,D,D,D
1965,M12,D,D,D
1966,M01,D,D,D
1966,M02,D,D,D
1966,M03,D,D,D
1966,M04,D,D,D
1966,M05,D,D,D
1966,M06,D,D,D
1966,M07,D,D,D
1966,M08,D,D,D
1966,M09,D,D,D
1966,M10,D,D,D
1966,M11,D,D,D
1966,M12,D,D,D
1967,M01,D,D,D
1967,M02,D,D,D
1967,M03,D,D,D
1967,M04,D,D,D
1967,M05,D,D,D
1967,M06,D,D,D
1967,M07,D,D,D
1967,M08,D,D,D
1967,M09,D,D,D
1967,M10,D,D,D
1967,M11,D,D,D
1967,M12,D,D,D
1968,M01,D,D,D
1968,M02,D,D,D
1968,M03,D,D,D
1968,M04,D,D,D
1968,M05,D,D,D
1968,M06,D,D,D
1968,M07,D,D,D
1968,M08,D,D,D
1968,M09,D,D,D
1968,M10,D,D,D
1968,M11,D,D,D
1968,M12,D,D,D
1969,M01,D,D,D
1969,M02,R,D,D
1969,M03,R,D,D
1969,M04,R,D,D
1969,M05,R,D,D
1969,M06,R,D,D
1969,M07,R,D,D
1969,M08,R,D,D
1969,M09,R,D,D
1969,M10,R,D,D
1969,M11,R,D,D
1969,M12,R,D,D
1970,M01,R,D,D
1970,M02,R,D,R
1970,M03,R,D,R
1970,M04,R,D,R
1970,M05,R,D,R
1970,M06,R,D,R
1970,M07,R,D,R
1970,M08,R,D,R
1970,M09,R,D,R
1970,M10,R,D,R
1970,M11,R,D,R
1970,M12,R,D,R
1971,M01,R,D,R
1971,M02,R,D,R
1971,M03,R,D,R
1971,M04,R,D,R
1971,M05,R,D,R
1971,M06,R,D,R
1971,M07,R,D,R
1971,M08,R,D,R
1971,M09,R,D,R
1971,M10,R,D,R
1971,M11,R,D,R
1971,M12,R,D,R
1972,M01,R,D,R
1972,M02,R,D,R
1972,M03,R,D,R
1972,M04,R,D,R
1972,M05,R,D,R
1972,M06,R,D,R
1972,M07,R,D,R
1972,M08,R,D,R
1972,M09,R,D,R
1972,M10,R,D,R
1972,M11,R,D,R
1972,M12,R,D,R
1973,M01,R,D,R
1973,M02,R,D,R
1973,M03,R,D,R
1973,M04,R,D,R
1973,M05,R,D,R
1973,M06,R,D,R
1973,M07,R,D,R
1973,M08,R,D,R
1973,M09,R,D,R
1973,M10,R,D,R
1973,M11,R,D,R
1973,M12,R,D,R
1974,M01,R,D,R
1974,M02,R,D,R
1974,M03,R,D,R
1974,M04,R,D,R
1974,M05,R,D,R
1974,M06,R,D,R
1974,M07,R,D,R
1974,M08,R,D,R
1974,M09,R,D,R
1974,M10,R,D,R
1974,M11,R,D,R
1974,M12,R,D,R
1975,M01,R,D,R
1975,M02,R,D,R
1975,M03,R,D,R
1975,M04,R,D,R
1975,M05,R,D,R
1975,M06,R,D,R
1975,M07,R,D,R
1975,M08,R,D,R
1975,M09,R,D,R
1975,M10,R,D,R
1975,M11,R,D,R
1975,M12,R,D,R
1976,M01,R,D,R
1976,M02,R,D,R
1976,M03,R,D,R
1976,M04,R,D,R
1976,M05,R,D,R
1976,M06,R,D,R
1976,M07,R,D,R
1976,M08,R,D,R
1976,M09,R,D,R
1976,M10,R,D,R
1976,M11,R,D,R
1976,M12,R,D,R
1977,M01,R,D,R
1977,M02,D,D,R
1977,M03,D,D,R
1977,M04,D,D,R
1977,M05,D,D,R
1977,M06,D,D,R
1977,M07,D,D,R
1977,M08,D,D,R
1977,M09,D,D,R
1977,M10,D,D,R
1977,M11,D,D,R
1977,M12,D,D,R
1978,M01,D,D,R
1978,M02,D,D,R
1978,M03,D,D,R
1978,M04,D,D,D
1978,M05,D,D,D
1978,M06,D,D,D
1978,M07,D,D,D
1978,M08,D,D,D
1978,M09,D,D,D
1978,M10,D,D,D
1978,M11,D,D,D
1978,M12,D,D,D
1979,M01,D,D,D
1979,M02,D,D,D
1979,M03,D,D,D
1979,M04,D,D,D
1979,M05,D,D,D
1979,M06,D,D,D
1979,M07,D,D,D
1979,M08,D,D,D
1979,M09,D,D,D
1979,M10,D,D,D
1979,M11,D,D,D
1979,M12,D,D,D
1980,M01,D,D,D
1980,M02,D,D,D
1980,M03,D,D,D
1980,M04,D,D,D
1980,M05,D,D,D
1980,M06,D,D,D
1980,M07,D,D,D
1980,M08,D,D,D
1980,M09,D,D,D
1980,M10,D,D,D
1980,M11,D,D,D
1980,M12,D,D,D
1981,M01,D,D,D
1981,M02,R,D,D
1981,M03,R,D,D
1981,M04,R,D,D
1981,M05,R,D,D
1981,M06,R,D,D
1981,M07,R,D,D
1981,M08,R,D,D
1981,M09,R,D,D
1981,M10,R,D,D
1981,M11,R,D,D
1981,M12,R,D,D
1982,M01,R,D,D
1982,M02,R,D,D
1982,M03,R,D,D
1982,M04,R,D,D
1982,M05,R,D,D
1982,M06,R,D,D
1982,M07,R,D,D
1982,M08,R,D,D
1982,M09,R,D,D
1982,M10,R,D,D
1982,M11,R,D,D
