CPI for All Urban Consumers (CPI-U),,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Series Id:,CUSR0000SA0E,,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,,
Series Title:,"Energy in U.S. city average, all urban consumers, seasonally adjusted",,,,,,,,,,,,,
Area:,U.S. city average,,,,,,,,,,,,,
Item:,Energy,,,,,,,,,,,,,
Base Period:,1982-84=100,,,,,,,,,,,,,
Years:,1957 to 2020,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,HALF1,HALF2
2010,212.807,209.624,209.326,209.219,206.631,203.764,206.877,208.770,209.832,216.710,219.496,227.130,,
2011,229.258,232.068,240.079,247.977,250.744,245.534,246.187,246.880,248.550,246.655,247.640,243.353,,
2012,244.876,248.898,249.742,249.677,241.806,235.897,233.568,244.987,252.987,256.017,248.819,244.708,,
2013,245.025,255.696,246.595,240.473,240.468,242.711,242.986,244.833,242.745,241.954,242.718,245.733,,
2014,250.340,249.925,249.961,249.864,249.213,249.714,248.744,245.699,241.610,237.061,229.016,218.536,,
2015,199.926,203.021,205.757,203.577,208.973,212.015,211.623,208.579,197.246,195.616,195.114,190.143,,
2016,186.319,177.278,180.853,185.592,188.084,192.808,189.401,189.718,192.158,195.541,195.927,200.139,,
2017,206.270,204.629,201.218,202.305,197.974,198.006,196.507,202.471,212.078,207.538,213.351,213.939,,
2018,217.707,220.985,215.682,217.172,219.764,222.001,220.788,223.711,222.732,225.459,219.157,213.472,,
2019,206.576,209.381,215.149,220.374,218.845,214.878,216.806,213.866,212.215,215.917,217.639,221.132,,
2020,219.561,215.139,202.700,182.148,,,,,,,,,,
