Date;cpi_all_seas_pct_change;cpi_all_unadj_pct_change;cpi_energy_seas_pct_change;cpi_energy_unadj_pct_change;cpi_less_energy_seas_pct_change;cpi_less_energy_unadj_pct_change;empl_pop_ratio_seas_pct_change;empl_pop_ratio_unadj_pct_change;unempl_level_seas_pct_change;unempl_level_unadj_pct_change;unempl_rate_seas_pct_change;unempl_rate_unadj_pct_change;US debt share in GDP_pct_change;US debt nominal_pct_change;USDCNY_pct_change;EURUSD_pct_change;VIX_pct_change;GSPC(S&P500)_pct_change;trade_balance_All_pct_change;trade_balance_Goods_pct_change;trade_balance_Services_pct_change;WTI oil price_pct_change
1967-04-30;0.003030303030303161;0.003030303030303161;0.012711864406779627;0.00843881856540074;0.0;0.002941176470588225;0.00528169014084523;0.010676156583629748;0.0020768431983384517;-0.09817197020988488;0.0;-0.10256410256410253;-0.0298672349104665;-0.024336223020604453;;;;-0.05244122854076727;;;;0.0
1967-05-31;0.0;0.0030211480362538623;0.0;0.0;0.00586510263929596;0.0029325513196480912;-0.0017513134851138146;0.0017605633802817433;0.011744386873920654;-0.07732732732732728;0.0;-0.08571428571428563;-0.0298672349104665;-0.024336223020604453;;;;0.017512314380055738;;;;0.0
1967-06-30;0.0060422960725075026;0.0030120481927708997;-0.004184100418409997;-0.004184100418409997;0.0;0.0029239766081869956;0.0052631578947368585;0.02108963093145877;0.021509047456469865;0.4759967453213996;0.026315789473684292;0.4374999999999998;0.020732828297169714;0.0402703062624461;;;;0.04534423042083224;;;;0.0
1967-07-31;0.0030030030030030463;0.0030030030030030463;0.0;0.0;0.00291545189504383;0.005830903790087438;0.0017452006980802626;0.010327022375215211;-0.016042780748663055;-0.10446527012127893;-0.02564102564102566;-0.10869565217391308;0.020732828297169714;0.0402703062624461;;;;-0.011715050131926086;;;;0.023333333333333206
1967-08-31;0.0029940119760478723;0.0029940119760478723;0.004201680672268893;0.004201680672268893;0.005813953488372103;0.0028985507246377384;0.0;-0.0034071550255536653;0.00033967391304345895;-0.09449061249615265;0.0;-0.09756097560975596;0.020732828297169714;0.0402703062624461;;;;0.03278513490800017;;;;0.0
1967-09-30;0.0029850746268658135;0.0029850746268658135;0.004184100418409997;0.004184100418409997;0.0028901734104047616;0.0028901734104047616;0.0;-0.022222222222222143;0.004414261460101931;-0.01597552685248127;0.0;0.0;0.007234660220058586;0.026100340581608483;;;;-0.035260014840864495;;;;0.0
1967-10-31;0.0029761904761904656;0.0029761904761904656;-0.004166666666666763;-0.004166666666666763;0.0028818443804032867;0.0028818443804032867;0.0017421602787457413;0.006993006993006867;0.06254225828262339;0.01968911917098448;0.05263157894736836;0.027027027027026973;0.007234660220058586;0.026100340581608483;;;;0.007502647132819451;;;;0.0
1967-11-30;0.005934718100890191;0.0029673590504448732;0.004184100418409997;0.004184100418409997;0.00287356321839094;0.00287356321839094;0.0;-0.0017361111111111605;-0.024498886414253906;-0.016598915989159857;-0.025000000000000022;-0.02631578947368407;0.007234660220058586;0.026100340581608483;;;;0.026276606382978684;;;;0.0
1967-12-31;0.002949852507374784;0.002958579881656931;-0.004166666666666763;-0.004166666666666763;0.002865329512893977;0.002865329512893977;0.0017391304347826875;0.0;-0.015655577299412915;-0.06303823630726835;-0.02564102564102566;-0.05405405405405406;-0.017206144598618245;0.013955661037013067;;;;-0.04384785898364396;;;;0.0
1968-01-31;0.002941176470588225;0.005899705014749346;0.004184100418409997;0.004184100418409997;0.005714285714285783;0.0028571428571428914;-0.01041666666666674;-0.02782608695652178;-0.04638833664678599;0.1301470588235294;-0.02631578947368407;0.1428571428571428;-0.017206144598618245;0.013955661037013067;;;;-0.031222864944121076;;;;0.0
1968-02-29;0.0029325513196480912;0.0029325513196480912;0.004166666666666652;0.004166666666666652;0.0028409090909089496;0.005698005698005604;0.0052631578947368585;0.01073345259391778;0.042738012508686696;0.06929082628497074;0.027027027027026973;0.050000000000000044;-0.017206144598618245;0.013955661037013067;;;;0.00940013418307828;;;;0.0
1968-03-31;0.0029239766081869956;0.0029239766081869956;0.0;0.0;0.0056657223796034994;0.0028328611898016387;0.0017452006980802626;0.0035398230088496963;-0.04131956014661775;-0.10891390325524797;-0.02631578947368407;-0.09523809523809534;-0.038140481104234625;-0.011743396485565438;;;;0.08048782972797652;;;;0.0
1968-04-30;0.00291545189504383;0.00291545189504383;-0.004149377593361092;-0.004149377593361092;0.0028169014084507005;0.005649717514124353;0.0;0.007054673721340388;-0.058394160583941646;-0.14953909184021852;-0.05405405405405406;-0.1578947368421052;-0.038140481104234625;-0.011743396485565438;;;;0.012517966473609476;;;;0.0
1968-05-31;0.0029069767441860517;0.0029069767441860517;0.004166666666666652;0.004166666666666652;0.002808988764045006;0.002808988764045006;0.006968641114982521;0.008756567425569184;0.011443337024732436;-0.07507025291047775;0.0;-0.09375000000000011;-0.038140481104234625;-0.011743396485565438;;;;0.00912040940413461;;;;0.0
1968-06-30;0.005797101449275477;0.005797101449275477;0.004149377593360981;0.004149377593360981;0.0028011204481790397;0.0056022408963585235;0.0;0.01736111111111116;0.0722627737226278;0.5690104166666667;0.05714285714285716;0.5517241379310345;0.009338328131395679;0.02714198437034021;;;;-0.01847764574256594;;;;0.0
1968-07-31;0.0057636887608067955;0.0057636887608067955;0.0;0.0;0.005586592178770999;0.0027855153203342198;-0.0034602076124566894;0.005119453924914641;-0.01872021783526212;-0.11009681881051181;0.0;-0.11111111111111116;0.009338328131395679;0.02714198437034021;;;;0.011459003713095939;;;;0.0
1968-08-31;0.002865329512893977;0.002865329512893977;0.004132231404958775;0.004132231404958775;0.002777777777777768;0.002777777777777768;-0.0017361111111111605;-0.006791171477079749;-0.03988900450919186;-0.13832763444202678;-0.05405405405405406;-0.125;0.009338328131395679;0.02714198437034021;;;;0.03853931783795961;;;;0.0
1968-09-30;0.0028571428571428914;0.0028571428571428914;0.0;0.0;0.005540166204986097;0.005540166204986097;0.0;-0.02051282051282055;-0.02962427745664742;-0.059523809523809534;-0.02857142857142858;-0.05714285714285716;-0.008674857547662174;0.009263043950127337;;;;0.007207616776227166;;;;0.0
1968-10-31;0.005698005698005604;0.005698005698005604;0.0;0.0;0.005509641873278293;0.005509641873278293;0.0;0.00523560209424101;0.0011169024571853203;-0.03720751822017643;0.0;-0.030303030303030165;-0.008674857547662174;0.009263043950127337;;;;0.047964401974106785;;;;0.0
1968-11-30;0.0028328611898016387;0.0028328611898016387;0.00411522633744843;0.00411522633744843;0.00273972602739736;0.00273972602739736;0.0017391304347826875;0.0;0.009669021941242084;0.026294820717131406;0.0;0.031249999999999778;-0.008674857547662174;0.009263043950127337;;;;-0.041616700887237235;;;;0.0
1968-12-31;0.005649717514124353;0.0028248587570622874;-0.004098360655737654;-0.004098360655737654;0.002732240437158584;0.002732240437158584;0.0017361111111111605;0.0;-0.011049723756906049;-0.06133540372670809;0.0;-0.06060606060606055;-0.021347659017145082;0.004237086939884671;;;;-0.008184084265510427;;;;0.0
1969-01-31;0.002808988764045006;0.0028169014084507005;0.00411522633744843;0.00411522633744843;0.005449591280653809;0.0027247956403269047;-0.0017331022530329143;-0.01909722222222221;0.012290502793296021;0.18899917287014056;0.0;0.19354838709677424;-0.021347659017145082;0.004237086939884671;;;;-0.047374088974389106;;;;0.0
1969-02-28;0.0028011204481790397;0.00561797752808979;0.0;0.0;0.0027100271002711285;0.005434782608695787;0.005208333333333259;0.010619469026548645;-0.009565857247976428;0.016695652173913;0.0;0.0;-0.021347659017145082;0.004237086939884671;;;;0.03444415676482704;;;;0.05863192182410426
1969-03-31;0.008379888268156499;0.008379888268156499;0.012295081967213184;0.012295081967213184;0.008108108108108025;0.008108108108108025;0.0;0.003502626970227629;0.007429420505200568;-0.060212110845022204;0.0;-0.05405405405405406;-0.03375366790097312;-0.01849832844754218;;;;0.02147571625503475;;;;0.030769230769230882
1969-04-30;0.005540166204986097;0.005540166204986097;0.00809716599190291;0.00809716599190291;0.00536193029490617;0.00536193029490617;0.0;0.00523560209424101;0.016961651917404064;-0.07462686567164178;0.0;-0.08571428571428563;-0.03375366790097312;-0.01849832844754218;;;;-0.002218179145179411;;;;0.0
1969-05-31;0.0027548209366392573;0.0027548209366392573;-0.004016064257028051;-0.004016064257028051;0.005333333333333412;0.005333333333333412;-0.0017271157167529916;0.0;-0.01631617113850614;-0.09520062942564911;0.0;-0.09375000000000011;-0.03375366790097312;-0.01849832844754218;;;;-0.05557703513992884;;;;0.0
1969-06-30;0.005494505494505475;0.005494505494505475;0.008064516129032251;0.008064516129032251;0.0053050397877982824;0.0053050397877982824;0.0034602076124568004;0.02083333333333326;0.03796535200884632;0.47782608695652184;0.02941176470588247;0.4137931034482758;0.0012989638311626805;0.02207455475424691;;;;-0.06017804789865966;;;;0.0
